,L4,Vip,Lamp5,L5 NP,Sst,L5 IT,Oligo,L6 PT,L6 IT,Sncg,Pvalb,L2/3 IT,Astro,L5 PT,L6b,Endo,Peri,Meis2,Macrophage,CR,VLMC,SMC
2872,9.74592762539861e-06,0.13127090742313935,0.037188822904027224,0.30738083706477926,0.46504018508293443,0.1891142671511613,1.5189368439999518e-05,0.7920154492801281,5.855554686519382e-05,4.918567780259897e-06,0.035043952053535235,1.51452237437677e-05,7.36066327944318e-06,0.04613703787114121,0.2643719503109738,1.224283651929392e-06,1.0441701635364314e-07,2.5667994739242417e-05,1.096459900559385e-06,1.8687174576648147e-06,2.0077142693142314e-05,3.575875938577333e-06
2873,8.974470962608283e-05,4.4841961642339e-05,4.3466622178744974e-05,7.5063741327152655e-06,0.3002342292446766,0.723894786021511,0.2207232737841096,1.8607471790610397e-05,0.0012542620478116842,7.84121421631978e-06,0.16012002424221516,0.4157238421083324,1.90705195812213e-05,1.684172969416975e-05,1.92965359553654e-05,7.236270654853438e-06,1.3621577128475337e-06,2.768356427651497e-06,1.587505222191976e-05,2.9935942436054575e-07,1.227228240074929e-05,0.011445346612970142
2874,1.2390681536439407e-05,0.525711535113701,0.0001241236206610541,2.8722547740223092e-06,0.21836743249712867,3.068558332341986e-05,3.3196108306932093e-06,8.920021908387366e-06,1.6027287759890796,1.473207614322014e-05,0.05590327448714302,1.2460056349083981e-05,3.958244932072974e-06,3.732930822022973e-06,1.4968452209218608e-05,1.000341757304013e-06,6.193709210788878e-08,5.269113853012541e-07,1.0364433145476637e-06,9.70829669433293e-08,2.6628432387709733e-06,1.7983983886804555e-06
2875,9.244349782999706e-05,0.6416584850818373,4.00685351369251e-05,3.1860592241139685e-06,0.24061291134209076,0.003252216394305202,2.0480365830854996e-05,7.457773876062834e-06,0.5698934848159083,4.162106158994705e-05,0.2588138153079643,0.3392664348083893,7.014061299631669e-05,2.9414482761690175e-06,6.821173161114524e-06,1.2763123962568346e-05,7.97363753218816e-08,6.343881091552817e-07,2.235895907080898e-06,1.8595141548782834e-07,0.10646312150765747,1.9463587104251445e-06
2876,5.509790101790313e-06,0.29821393338049895,0.9323091343603359,5.018574301374201e-05,0.012021109953295389,2.969688303156026e-05,5.459011993121099e-06,5.504575673076495e-05,3.565008048826701e-05,0.08675479720823037,0.06808149585813254,5.9400675725337915e-06,3.92290036524412e-06,2.2334472792810174,0.00021097012464460496,5.309933734341798e-07,4.000864461950471e-08,8.105704070726638e-06,5.487534052439624e-07,5.536161951091856e-08,9.78958712566369e-07,1.1800315380061654e-05
2877,0.5608136293304535,7.106707630144538e-05,1.7803882688377515e-05,0.08826412883783097,0.3908683785233894,3.6023129682344335e-05,0.07609524779654626,1.1326034158543052e-05,1.3072037406566817e-05,2.67927983092775e-06,0.0012805231903595393,8.365763298295859e-06,0.33560318693210583,5.261217554432263e-06,3.973228260290007e-06,5.7838264314966775e-06,7.082589978391063e-08,8.733677215877478e-07,7.384268899259666e-06,2.2047929393309573e-07,0.18245626166190954,0.21449424492425956
2878,7.9893510991913e-06,2.890871580779608e-05,0.15137186392575067,5.921998076474644e-06,0.6380996647667232,0.251134651842318,2.2883638916282312e-05,0.22417756725949312,0.42563378242576855,3.6598266156262493e-06,2.7261096716899025e-05,1.790769239273793e-05,4.719680684023286e-06,4.274952517230313e-05,0.23232018485049116,2.5893591510256497e-06,2.8155617591729687e-05,1.9742544995482447e-06,3.6809774186736047e-06,4.3242502845153297e-07,1.7656016034206523e-06,0.18973270866486447
2879,5.62117406988083e-06,0.10609036381214143,0.5633419620285024,2.2452372697712164e-06,0.00010432312241773212,4.158358192701828e-06,2.1517294021625166e-06,6.4929484815401395e-06,7.46683105960072e-06,2.7868661868768463e-06,3.1329788550633637,4.246673619881514e-06,3.1754540650991148e-06,2.470020819048818e-06,2.494362203300793e-06,6.038436424077309e-07,1.854639835111027e-08,5.582045909946487e-07,5.74144653774783e-07,8.680377927561267e-08,9.280996462190938e-07,1.371401565114505e-06
2880,0.49178544752834213,0.15209606445868093,2.8084747481282868e-05,6.367456424904994e-06,0.34385052822247075,0.627342551288352,6.319357876620468e-05,1.246662784026853e-05,1.3780742575429661e-05,2.4693161177757883e-06,2.534562551903541e-05,1.2495490458883096e-05,0.38879652542157905,4.14217645602899e-06,5.224044129170657e-06,4.789236653604534e-06,2.1448873302465365e-07,1.2895045036209751e-06,1.3445657992050553e-05,5.659029855831221e-07,5.159878836258347e-06,7.514133793407041e-06
2881,1.2332260576633503e-05,2.798566483158682e-05,1.6356377529655464e-05,0.14553682092362452,0.05514853093937311,0.0620898268741748,0.0012896679799019178,0.10728792466245496,2.0168961670175012e-05,2.8666415955447277e-06,0.010838248306809517,2.1093825235907193e-05,9.221323036920359e-06,9.18802640704347e-06,1.9678051478011493e-05,0.00013983774967771603,7.826210674521938e-07,1.1295995618887389e-05,0.39231875251506354,0.22354327736805973,0.12235309857815785,0.6875527173953312
